Deadline,AFADeadline,Organisation,Title,Location,App_link,App_email,Required_Docs,Other_Docs,Summary,App_JobID,source,Link,timestamp
2024-12-30,2024-12-23,"Antai College of Economics and Management, Shanghai Jiao Tong University","Assistant, Associate, and Full Professor of Finance",CN,http://mis.acem.sjtu.edu.cn/jszp/login.html,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, Research Statement, Teaching Statement",,Antai College of Economics and Management at Shanghai Jiao Tong University invites applications for positions in Finance at all levels beginning in August 2025.,,AFA,https://careers.afajof.org/job/322812,2024-10-24T14:43:08.359
2025-03-06,2025-03-06,Cornerstone Research,Summer Associate,"San Francisco, California, US",https://grad-chire.icims.com/jobs/3636/summer-associate---phd/job,associate-recruiting@cornerstone.com,"Cover Letter, Resume",,"Cornerstone Research is seeking doctoral candidates for a Summer Associate role in various offices. Responsibilities include project strategy development, research, analysis, and problem-solving.", ,AFA,https://careers.afajof.org/job/322336,2024-10-24T14:43:08.359
2024-11-30,2024-12-23,"The Chinese University of Hong Kong, Shenzhen",Assistant Professor/Associate Professor/Professor in Finance,CN,http://academicrecruit.cuhk.edu.cn/sme,smefinrecruit@cuhk.edu.cn,"Curriculum Vitae, Job Market Paper/other papers, Teaching Statement",Research Statement,"Application for Assistant, Associate, or Full Professor in Finance at The Chinese University of Hong Kong, Shenzhen. Deadline: November 30, 2024.",,AFA,https://careers.afajof.org/job/322801,2024-10-24T14:43:08.359
2024-12-22,2024-12-22,University of Wisconsin-Madison,Assistant Professor of Real Estate & Urban Land Economics,"Madison, Wisconsin, US",https://jobs.wisc.edu/jobs/assistant-professor-of-real-estate-urban-land-economics-madison-wisconsin-united-states, ,,,The Department of Real Estate & Urban Land Economics at the Wisconsin School of Business invites applications for tenure-track positions (Assistant Professor) beginning in August 2025. They are seeking a junior academic scholar whose expertise will drive the integration of Artificial Intelligence (AI) into real estate finance and urban economics research and education., ,AFA,https://careers.afajof.org/job/322808,2024-10-24T14:43:08.359
,,Texas A&M University: Mays Business School: Finance,Tenure-Track: Assistant Professor,"College Station, Texas.",apply.interfolio.com/157423,wwu@mays.tamu.edu,"Cover Letter, Curriculum Vitae, References (3), Research Statement","Personal Statement: Your statement should include your philosophy and plans for research, teaching, and service as applicable","Tenure-track faculty positions are available in the Department of Finance at Mays Business School, Texas A&M University. Candidates must have a Ph.D. in Finance or equivalent discipline and demonstrate potential for publishing high-quality research in leading journals.",J16094,SSRN,https://www.ssrn.com/index.cfm/en/janda/job/?id=16094,2024-10-24T14:33:04.482
3/10/2025,3/10/2025,Cornerstone Research,Senior Economist,"New York City, New York, US",https://grad-chire.icims.com/jobs/3616/senior-economist/job, ,"Cover Letter, Job Market Paper/other papers, Resume",,"Apply for Senior Economist position at Cornerstone Research. Submit cover letter, resume, and sample research paper through careers website.", ,AFA,https://careers.afajof.org/job/322592,2024-10-23T21:39:27.589
11/16/2024,11/16/2024,Iowa State University,Assistant Professor of Finance,"Ames, Iowa, US", , ,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,The Department of Finance in the Ivy College of Business at Iowa State University is seeking a tenure-track Assistant Professor faculty member beginning August 2025., ,AFA,https://careers.afajof.org/job/322786,2024-10-23T21:39:27.589
12/20/2024,12/13/2024,PCAOB,2025-2026 PCAOB Economic Research Fellowship ,US,mailto:ERA@pcaobus.org,ERA@pcaobus.org,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (2)",Research Proposal,Academics can join PCAOB as full-time employees through the Fellowship Program. Fellows work on staff projects and develop publishable research.,,AFA,https://careers.afajof.org/job/322779,2024-10-23T21:39:27.589
9/1/2025,11/3/2024,University of Michigan Ross School of Business,Assistant Professor of Finance ,"Ann Arbor, Michigan, US", , ,"Cover Letter, Curriculum Vitae, Diversity Statement, Job Market Paper/other papers, References (3), Teaching Statement",,Multiple tenure-track positions in Finance are available at the University of Michigan starting in September 2025. Candidates must have an earned doctorate by September 2025 and demonstrate the ability to conduct high-quality scholarly research and teach at the graduate and/or undergraduate level., ,AFA,https://careers.afajof.org/job/322748,2024-10-23T21:39:27.589
11/28/2024,11/28/2024,School of Finance Renmin University of China ,Lecturer/Associate Professor,CN,https://zhaopin.ruc.edu.cn/hire/hireNetPortal/search_zp_position.do?b_posDesc=link&posID=&z0301=%7E31%7E30%7E33%7E30%7E32%7E38%7E34%7E35&posName=%5E6559%5E5e08%5Cc97%5C4f4d&unitName=%25E4%25B8%25AD%25E5%259B%25BD%25E4%25BA%25BA%25E6%25B0%2591%25E5%25A4%25A7%25E5%25AD%25A6&returnType=1&selunitcode=RUC,cjban@ruc.edu.cn,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",Curriculum Vitae (Chinese),"Application for Financial Technology, Corporate Finance, Macro Finance, Public Finance, Public Economics and Fiscal Policy positions at Renmin University of China.", ,AFA,https://careers.afajof.org/job/322732,2024-10-23T21:39:27.589
11/12/2024,11/12/2024,"Business School, Sun Yat-sen University",Tenure-track Faculty Positions Vacancy!,CN, ,bsjob@mail.sysu.edu.cn,"Cover Letter, Current Resume, Job Market Paper/other papers, References (3), Teaching Statement",,Sun Yat-sen University is seeking tenure-track faculty positions and post-doctoral fellows in Theoretical Economics and Business Administration., ,AFA,https://careers.afajof.org/job/322656,2024-10-23T21:39:27.589
12/22/2024,12/22/2024,Texas A&M University,Tenure-Track: Assistant Professor,"College Station, Texas, US",http://apply.interfolio.com/157423,wwu@mays.tamu.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement",,"The Adam C. Sinn ’00 Department of Finance at Mays Business School, Texas A&M University, invites applications for multiple full-time tenure-track faculty positions beginning Fall of 2025.", ,AFA,https://careers.afajof.org/job/322806,2024-10-23T21:39:27.589
12/22/2024,12/22/2024,Texas A&M University,Tenured: Associate Professor or Professor,"College Station, Texas, US",http://apply.interfolio.com/157426,sjohnson@mays.tamu.edu,"Cover Letter, Curriculum Vitae, References (3), Research Statement",,"Multiple full-time tenured faculty positions are available at the Adam C. Sinn '00 Department of Finance at Mays Business School, Texas A&M University. Applicants must have a Ph.D. in Finance or equivalent discipline.", ,AFA,https://careers.afajof.org/job/322805,2024-10-23T21:39:27.589
3/6/2025,3/6/2025,Cornerstone Research,Associate,"New York City, New York, US",https://grad-chire.icims.com/jobs/3483/associate---phd/job,associate-recruiting@cornerstone.com,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,"Cornerstone Research is hiring Associates with a PhD in economics, finance, accounting, or marketing. Candidates should submit a cover letter, resume, and job market paper through the careers website, and email three letters of recommendation to the provided email address.", ,AFA,https://careers.afajof.org/job/322657,2024-10-23T21:39:27.589
11/22/2024,11/22/2024,BI Norwegian Business School,Faculty positions in Finance,NO,mailto:financerecruiting@bi.no,financerecruiting@bi.no,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,"The Department of Finance at BI Norwegian Business School is seeking applicants for full-time, tenure-track faculty positions at all levels.",,AFA,https://careers.afajof.org/job/322803,2024-10-23T21:39:27.589
11/30/2024,11/30/2024,Korea Institute of Finance (KIF),Research Fellow,KR, , , , , , ,AFA,https://careers.afajof.org/job/322793,2024-10-23T21:39:27.589
11/20/2024,11/20/2024,"Guanghua School of Management, Peking University",Assistant/Associate/Full Professor of Finance,CN, ,recruitment@gsm.pku.edu.cn,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, Other evidence of research and teaching experience (including awards), References (3)",,Guanghua School of Management at Peking University is inviting applicants for all ranks in finance. Applicants for assistant professors should have a Ph.D. degree in relevant field and strong research potentials and teaching abilities., ,AFA,https://careers.afajof.org/job/322800,2024-10-23T21:39:27.589
10/30/2024,10/30/2024,Radancy,"IT, Multiple Positions","Burlington, Massachusetts, US",http://bit.ly/MSJobs-Finance_Analysis_Control, ,"Cover Letter, Curriculum Vitae",,"Multiple positions available in Financial Analysis & Controls, Controller, Controllership, Financial Analysis, and Finance Compliance at Microsoft Corporation. Some positions require travel and/or permit telecommuting. For details, including job descriptions, minimum requirements, salary range, and benefits information, access the job posting using the website address listed.", ,AFA,https://careers.afajof.org/job/322798,2024-10-23T21:39:27.589
12/15/2024,12/19/2024,"School of Political Science and Economics, National Taiwan University",Tenure-Track Assistant / Associate Professor / Professor of Finance,TW, , ,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)","Research Papers, Transcripts",Tenure-track finance faculty positions at National Taiwan University's School of Political Science and Economics. Ph.D. required before July 2025., ,AFA,https://careers.afajof.org/job/322792,2024-10-23T21:39:27.589
12/17/2024,12/17/2024,Wenzhou-Kean University,2025 Finance Assistant/Associate Professor,CN,https://apply.interfolio.com/156128, ,"Cover Letter, Curriculum Vitae, References (3), Research Statement, Teaching Statement","Unofficial transcripts, Optional writing sample",Wenzhou-Kean University is seeking full-time tenure-track Assistant/Associate Professors in Finance to begin in Spring or Fall 2025. Applicants must have earned a PhD in Finance or a closely related field from a recognized research university., ,AFA,https://careers.afajof.org/job/322770,2024-10-23T21:39:27.589
12/2/2024,12/17/2024,"University of Minnesota, Carlson School of Management",Tenure-Track Assistant Professor,"Minneapolis, Minnesota, US",https://hr.umn.edu/Jobs/Find-Job,csomfina@umn.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,"The Finance Department at the Carlson School of Management, University of Minnesota, is seeking qualified applicants for a tenure-track position at the assistant professor rank in all areas of finance.",364929,AFA,https://careers.afajof.org/job/322788,2024-10-23T21:39:27.589
11/15/2024,11/16/2024,"Sauder School of Business, Finance Division, University of British Columbia",UBC Sauder School of Business - Tenure Track Position - Finance,"Vancouver, British Columbia, CA",https://www.econjobmarket.org/,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, Record of Teaching Effectiveness, References (3)",,The University of British Columbia's Sauder School of Business invites applications for up to two tenure-track faculty positions in the Finance Division.,,AFA,https://careers.afajof.org/job/322787,2024-10-23T21:39:27.589
11/16/2024,11/16/2024,Lingnan University,"Chair Professor / Professor / Associate Professor / Assistant Professor, Lingnan-60",HK,<Apply on website>, ,"Curriculum Vitae, References (3)",,"Join the Lingnan-60 Global Talent Recruitment and apply for a tenured or tenure-track position as Assistant Professor, Associate Professor, Professor, or Chair Professor at Lingnan University.",24/999/AFA,AFA,https://careers.afajof.org/job/322784,2024-10-23T21:39:27.589
11/15/2024,11/15/2024,The Hong Kong University of Science and Technology (Hong Kong),"FACULTY POSITIONS IN FINANCE (ASSISTANT, ASSOCIATE OR FULL)",HK,https://apply.interfolio.com/155247,,"Curriculum Vitae, Job Market Paper/other papers, References (3)",Recent publications,"The HKUST Business School invites full-time tenured, tenure-track, or teaching-track faculty applications for the Department of Finance.",,AFA,https://careers.afajof.org/job/322764,2024-10-23T21:39:27.589
11/18/2024,11/15/2024,INSEAD,"Full-time, tenured, or tenure-track faculty position in the Finance Area",SG, ,insead.FIN-area@insead.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)","Research Statement, Teaching Statement","INSEAD's Finance Department is inviting applications for faculty positions at all levels. Candidates should have a strong commitment to produce the highest quality research and demonstrate the ability to teach at the MBA, MIM, and PhD levels.", ,AFA,https://careers.afajof.org/job/322777,2024-10-23T21:39:27.589
11/17/2024,11/14/2024,"University of Wisconsin-Madison, Wisconsin School of Business","Full or Associate Professor in Finance, Investment and Banking","Madison, Wisconsin, US",<https://jobs.wisc.edu/>Apply Now,,"Curriculum Vitae, References (3), Research Statement, Statement of interest, Teaching Statement",,"The Finance Department in the Wisconsin School of Business seeks Full or Associate Professor in the field of Finance, Investment, and Banking for a position to start August 18, 2025.",307230-FA,AFA,https://careers.afajof.org/job/322782,2024-10-23T21:39:27.589
11/17/2024,11/14/2024,"University of Wisconsin-Madison, Wisconsin School of Business","Assistant Professor in Finance, Investment and Banking","Madison, Wisconsin, US",Apply Now,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,"The Wisconsin School of Business seeks an Assistant Professor in Finance, Investment, and Banking. Responsibilities include research, teaching, and service.",,AFA,https://careers.afajof.org/job/322781,2024-10-23T21:39:27.589
12/13/2024,12/13/2024,NEOMA Business School,Assistant/Associate/Full Professor positions in Finance,FR,http://apply.interfolio.com/152678,facultyrecruitment@neoma-bs.fr,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)","Teaching Statement, Research Statement, Recent teaching evaluations","NEOMA Business School seeks dynamic, full-time, permanent faculty members for their Finance department. Applications should include a cover letter, CV, job market paper, three references, and recent teaching evaluations.", ,AFA,https://careers.afajof.org/job/322778,2024-10-23T21:39:27.589
12/1/2024,11/14/2024,"International School of Finance, Fudan University (FISF)","Assistant, Associate, or Full Professors in Finance and Economics",CN,http://fms.fisf.com.cn,fs_fisf@fudan.edu.cn,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,This application is for at least 3 junior positions in finance or economics at FISF. Applicants must hold a Ph.D. degree by August 2025.,,AFA,https://careers.afajof.org/job/322771,2024-10-23T21:39:27.589
11/15/2024,11/15/2024,The Ohio State University,Assistant Professor of Finance,"Columbus, Ohio, US",https://fisher.osu.edu/academic-departments/department-finance/finance-faculty-recruiting,finance.recruiting@fisher.osu.edu,"Curriculum Vitae, Job Market Paper/other papers, Teaching Statement",,"The Ohio State University invites applications for the position of Assistant Professor (tenure-track) of Finance to begin August 2025. Candidates should have a Ph.D. in finance or economics, or expect to complete a Ph.D. in the near future.",,AFA,https://careers.afajof.org/job/322780,2024-10-23T21:39:27.589
11/30/2024,12/8/2024,The University of Hong Kong,Tenure-Track Professor/Associate Professor/Assistant Professor ,HK,https://jobs.hku.hk,fina.jobmarket@hku.hk,"Curriculum Vitae, Job Market Paper/other papers",,"Applications invited for Tenure-Track Professor/Associate Professor/Assistant Professor in Finance in the Faculty of Business and Economics, to commence on July 1, 2025.",,AFA,https://careers.afajof.org/job/322761,2024-10-23T21:39:27.589
11/22/2024,11/13/2024,University College London,Assistant Professor (Lecturer) in Finance,"London (Greater), GB",https://econjobmarket.org/positions/10955,a.gorbenko@ucl.ac.uk,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,UCL invites applications for Assistant Professor in Finance positions. Submit applications via EJM website and expect online interviews via Zoom.,,AFA,https://careers.afajof.org/job/322776,2024-10-23T21:39:27.589
11/30/2024,11/30/2024,City University of Hong Kong,Professor/Associate Professor/Assistant Professor (Finance),HK,http://jobs.cityu.edu.hk/,efpost@cityu.edu.hk,Curriculum Vitae,,City University of Hong Kong is seeking exceptional scholars for Assistant Professor/Associate Professor/Professor/Chair Professor positions in all academic fields with a special focus on Finance in the Department of Economics and Finance.,,AFA,https://careers.afajof.org/job/322772,2024-10-23T21:39:27.589
2/1/2025,12/10/2024,David Eccles School of Business,Assistant/Associate/Professor for Finance Department (Campus Faculty),"Salt Lake City, Utah, US",https://utah.peopleadmin.com/postings/172190,,"Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,Finance tenure-track faculty position at the University of Utah. Preference for candidates with Fintech research and teaching expertise.,,AFA,https://careers.afajof.org/job/322769,2024-10-23T21:39:27.589
6/30/2025,11/9/2024,University of California San Diego,Assistant Professor of Finance,"La Jolla, California, US",https://apol-recruit.ucsd.edu/JPF04079,lfp002@ucsd.edu,"Curriculum Vitae, Job Market Paper, Statement of Contributions to Diversity, Statement of Research","Cover Letter, Statement of Teaching, Additional Research Paper, Additional Research Paper, Misc / Additional","Assistant Professor of Finance position at University of California San Diego. PhD required in Finance, Economics, or related field. Research and teaching experience preferred.",,AFA,https://careers.afajof.org/job/322765,2024-10-23T21:39:27.589
11/24/2024,11/9/2024,The Chinese University of Hong Kong,Assistant Professor(s) ,HK,https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=240002JU,fin@cuhk.edu.hk,"Curriculum Vitae, Job Market Paper/other papers, References (3)",,Applications are invited for Assistant Professor positions in the Department of Finance at the Chinese University of Hong Kong. Applicants should hold a relevant doctoral degree or be close to completing one.,,AFA,https://careers.afajof.org/job/322762,2024-10-23T21:39:27.589
11/18/2024,11/9/2024,Copenhagen Business School,"Faculty Positions at the Department of Finance, Copenhagen Business School",DK,https://econjobmarket.org,recruiting.fi@cbs.dk,"Curriculum Vitae, Job Market Paper/other papers, References (3)",,Copenhagen Business School is seeking new faculty members for junior and senior positions in finance with strong research potential and/or record in financial economics., ,AFA,https://careers.afajof.org/job/322751,2024-10-23T21:39:27.589
11/17/2024,12/8/2024,Bank of Canada ,Senior Economist or FSS Senior Analyst (2024-2025 PhD Job Market),"Ontario, CA",<https://www.bankofcanada.ca/careers/>,recruitment@bankofcanada.ca,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,"Application for Senior Economist or FSS Senior Analyst position at the Bank of Canada. Requires cover letter, CV, research paper, and 3 letters of recommendation.",,AFA,https://careers.afajof.org/job/322760,2024-10-23T21:39:27.589
11/8/2024,11/8/2024,YMCA of Greater New York,Head of Treasury Services (Association Office),"New York City, New York, US",http://ymcanyc.csod.com/ux/ats/careersite/1/home/requisition/2179?c=ymcanyc, ,"Cover Letter, Curriculum Vitae",,"This application is for the Head of Treasury Services position at the YMCA of Greater New York Association Office. The role involves managing the Association's Treasury Management functions, including Cash Management, Credit Card/Bank Draft/Redraft processing, Payroll, Accounts Payable, and more. The salary is $165,000 annually.", ,AFA,https://careers.afajof.org/job/322758,2024-10-23T21:39:27.589
11/15/2024,11/7/2024,Northwestern University,"Assistant Professor, Finance","Evanston, Illinois, US",https://facultyrecruiting.northwestern.edu/apply/MjIxOA==,,"Curriculum Vitae, Job Market Paper/other papers, References (3)",,"Full-time Assistant Professor position in Finance for the 2025/26 academic year. Candidates must have a Ph.D. in Economics, Finance, or a related discipline. Demonstrate strong research skills and an understanding of a quality academic program at the MBA and Ph.D. levels.",,AFA,https://careers.afajof.org/job/322757,2024-10-23T21:39:27.589
11/15/2024,11/15/2024,Imperial College London,Assistant/Associate/Full Prof of Finance,"London (Greater), GB",https://www.imperial.ac.uk/jobs/search-jobs/description/index.php?jobId=20891&jobTitle=Professors+%28Assistant%2FAssociate%2FFull+Professor%29+of+Finance,financerecruitment@imperial.ac.uk,"Curriculum Vitae, Job Market Paper/other papers, References (3)",,"Imperial College Business School is seeking qualified applicants for faculty positions in its Finance Department at the rank of Assistant, Associate and Full Professor.",BUS00745,AFA,https://careers.afajof.org/job/322756,2024-10-23T21:39:27.589
11/29/2024,11/7/2024,Indiana University Kelley School of Business,"Assistant Professor, Kelley School of Business (Finance)","Bloomington, Indiana, US",https://indiana.peopleadmin.com/postings/26031,KSBFIN@iu.edu,"Cover Letter, Curriculum Vitae, References (3), Research Statement, Teaching Statement",,"The Finance Department at Indiana University invites applications for tenure-track positions as Assistant Professor in finance to begin fall 2025. A doctoral degree in Finance, Real Estate, or a related area is required.",,AFA,https://careers.afajof.org/job/322754,2024-10-23T21:39:27.589
11/5/2024,12/7/2024,Georgia Tech Scheller College of Business,Assistant Professor of Finance,"Atlanta, Georgia, US",https://bit.ly/3RJWKY0,Recruit-finance@scheller.gatech.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,"Tenure-track faculty position at the rank of Assistant Professor of Finance at Georgia Tech. Research, teaching, and service duties.",,AFA,https://careers.afajof.org/job/322755,2024-10-23T21:39:27.589
12/14/2024,12/6/2024,University of Notre Dame,University Chair Position in the Finance Department,"Notre Dame, Indiana, US",http://apply.interfolio.com/154852,,"Cover Letter, Curriculum Vitae, Teaching Statement",,Application for tenured full professor position with university chair professorship. Interested in highly accomplished senior scholars with research and teaching interests in finance. Competitive salary and benefits offered.,,AFA,https://careers.afajof.org/job/322753,2024-10-23T21:39:27.589
11/20/2024,12/6/2024,University of Notre Dame,Tenure Track Position in the Finance Department,"Notre Dame, Indiana, US",http://apply.interfolio.com/154844,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",Additional working papers or publications,Applicants sought for tenure-track positions in finance at the University of Notre Dame. Must have a Ph.D. in Finance or a closely related field.,,AFA,https://careers.afajof.org/job/322752,2024-10-23T21:39:27.589
12/6/2024,12/6/2024,Lingnan University,"Associate Professor / Assistant Professor, Department of Finance",HK,https://www.ln.edu.hk/hr/en-gb/job-openings/academic-staff-vacancies, ,"Cover Letter, Curriculum Vitae, References (3)",,"Application for Associate Professor / Assistant Professor in the Department of Finance at Lingnan University. Candidates should have a relevant PhD degree in Finance and relevant discipline, with outstanding research and teaching potentials.",24/340/AFA,AFA,https://careers.afajof.org/job/322750,2024-10-23T21:39:27.589
11/3/2024,11/3/2024,University of Virginia Darden School of Business,"Open Rank Professor of Finance, Tenured/Tenure-Track","Charlottesville, Virginia, US",https://apply.interfolio.com/123456,FitzgeraldA@darden.virginia.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",Summary of teaching evaluations (if available),"The Darden School of Business at the University of Virginia invites applications for a tenure track assistant, associate or full professor faculty appointment in Finance to begin Fall 2025.","Open Rank, Finance Faculty – Darden School of Business",AFA,https://careers.afajof.org/job/322746,2024-10-23T21:39:27.589
11/15/2024,11/1/2024,Southwestern University,Assistant Professor of Economics / Finance (tenure-track),"Georgetown, Texas, US",http://apply.interfolio.com/155762,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (2), Research Statement, Teaching Statement",,"Tenure-track position at the Assistant Professor level in Economics/Finance at Southwestern University. Ph.D. required. Priority deadline November 15, 2024.",,AFA,https://careers.afajof.org/job/322745,2024-10-23T21:39:27.589
7/1/2025,11/1/2024,University of Pennsylvania,Assistant Professor of Finance (Tenure Track) 2024 - 2025,"Philadelphia, Pennsylvania, US",https://apptrkr.com/get_redirect.php?id=5691112&targetURL=https://fnce.wharton.upenn.edu/,fnce-recruitcoord@wharton.upenn.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,"The Finance Department of the Wharton School is seeking applicants for a tenure-track faculty position at the level of Assistant Professor. Applicants should have interests in areas such as Corporate Finance, Asset Pricing, and Macroeconomics.",705e8ed7202da448b7d90dbbd72f9849,AFA,https://careers.afajof.org/job/322742,2024-10-23T21:39:27.589
