Deadline,AFADeadline,Organisation,Title,Location,App_link,App_email,Required_Docs,Other_Docs,Summary,App_JobID,source,Link,timestamp
,2024-11-16,Lingnan University,"Chair Professor / Professor / Associate Professor / Assistant Professor, Lingnan-60",HK,https://www.ln.edu.hk/apply-on-website,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"Lingnan University is recruiting outstanding scholars for tenure or tenure-track positions in various fields, with a focus on interdisciplinary areas that drive digitalization.",,AFA,https://careers.afajof.org/job/322784,2024-10-23T20:24:49.731
2024-11-15,2024-11-15,The Hong Kong University of Science and Technology (Hong Kong),"FACULTY POSITIONS IN FINANCE (ASSISTANT, ASSOCIATE OR FULL)",HK,https://apply.interfolio.com/155247,,"Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement (References in 3 letters)",,"This application is for a full-time tenure-track (assistant level), tenured (associate or full professor level), or teaching-track faculty position in the Department of Finance at HKUST Business School, effective July 2025.",155247,AFA,https://careers.afajof.org/job/322764,2024-10-23T20:24:49.731
2024-11-18,2024-11-15,INSEAD,"Full-time, tenured, or tenure-track faculty position in the Finance Area",SG,,insead.FIN-area@insead.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, Publications/writing samples (recent), References (3)","Research Statement, Teaching Statement","This application is for a Finance faculty position at INSEAD, with consideration given to diversity and underrepresented groups.",,AFA,https://careers.afajof.org/job/322777,2024-10-23T20:24:49.731
2024-11-17,2024-11-14,"University of Wisconsin-Madison, Wisconsin School of Business","Full or Associate Professor in Finance, Investment and Banking","Madison, Wisconsin, US",https://jobs.wisc.edu/asr,,"Cover Letter, Curriculum Vitae, Full curriculum vitae, References (3), Research Statement, Teaching Statement",,"This application is for a Finance Professor/Associate Professor position at the University of Wisconsin-Madison School of Business. It requires a statement of interest, full CV, and evidence of excellence in teaching and research.",,AFA,https://careers.afajof.org/job/322782,2024-10-23T20:24:49.731
2024-11-17,2024-11-14,"University of Wisconsin-Madison, Wisconsin School of Business","Assistant Professor in Finance, Investment and Banking","Madison, Wisconsin, US",http://apply.now,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,"This application is for an Assistant Professor in Finance at the Wisconsin School of Business. The position involves research, teaching, and community service.",,AFA,https://careers.afajof.org/job/322781,2024-10-23T20:24:49.731
,2024-12-13,NEOMA Business School,Assistant/Associate/Full Professor positions in Finance,FR,http://apply.interfolio.com/152678,facultyrecruitment@neoma-bs.fr,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)","Research Statement, Teaching Statement, Representative publications and/or working papers (if available)","This application is for a finance faculty position at NEOMA Business School, with positions based on the Rouen or Reims campus. The school offers a comprehensive support structure for research and teaching, as well as relocation support.",,AFA,https://careers.afajof.org/job/322778,2024-10-23T20:24:49.731
2024-12-01,2024-11-14,"International School of Finance, Fudan University (FISF)","Assistant, Associate, or Full Professors in Finance and Economics",CN,http://fms.fisf.com.cn,fs_fisf@fudan.edu.cn,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,"This application is for a junior position in finance or economics at FISF, with globally competitive compensation and research funding.",,AFA,https://careers.afajof.org/job/322771,2024-10-23T20:24:49.731
2024-11-15,2024-11-15,The Ohio State University,Assistant Professor of Finance,"Columbus, Ohio, US",https://fisher.osu.edu/academic-departments/department-finance/finance-faculty-recruiting,finance.recruiting@fisher.osu.edu,"Curriculum Vitae, Job Market Paper/other papers","Selected working papers or publications, Evidence of teaching effectiveness (if available), Recommendation letters",This application is for an Assistant Professor (tenure-track) position in Finance at The Ohio State University.,,AFA,https://careers.afajof.org/job/322780,2024-10-23T20:24:49.731
2024-11-30,2024-12-08,The University of Hong Kong,Tenure-Track Professor/Associate Professor/Assistant Professor ,HK,https://jobs.hku.hk, ,"Curriculum Vitae, Job Market Paper/other papers",References (3),This application is for a Tenure-Track Professor/Associate Professor/Assistant Professor position in Finance at the Faculty of Business and Economics., ,AFA,https://careers.afajof.org/job/322761,2024-10-23T20:24:49.731
2024-11-22,2024-11-13,University College London,Assistant Professor (Lecturer) in Finance,"London (Greater), GB",https://econjobmarket.org/positions/10955,a.gorbenko@ucl.ac.uk,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"This application is for the Assistant Professor in Finance position, joint between UCL Economics and UCL School of Management.",,AFA,https://careers.afajof.org/job/322776,2024-10-23T20:24:49.731
2024-11-30,2024-11-30,City University of Hong Kong,Professor/Associate Professor/Assistant Professor (Finance),HK,http://jobs.cityu.edu.hk/,efpost@cityu.edu.hk,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers",,This application is for a substantiation-track position as Professor/Associate Professor/Assistant Professor (Finance) in the Department of Economics and Finance at City University of Hong Kong.,,AFA,https://careers.afajof.org/job/322772,2024-10-23T20:24:49.731
2025-02-01,2024-12-10,David Eccles School of Business,Assistant/Associate/Professor for Finance Department (Campus Faculty),"Salt Lake City, Utah, US",https://utah.peopleadmin.com/postings/172190,,"Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"This application is for a Finance tenure-track faculty position at the University of Utah, with preference given to candidates with Fintech research and teaching expertise.",,AFA,https://careers.afajof.org/job/322769,2024-10-23T20:24:49.731
2024-11-09,2024-11-09,University of California San Diego,Assistant Professor of Finance,"La Jolla, California, US", , , , , , ,AFA,https://careers.afajof.org/job/322765,2024-10-23T20:24:49.731
2024-11-24,2024-11-09,The Chinese University of Hong Kong,Assistant Professor(s) ,HK,https://cuhk.taleo.net/careersection/cu_career_teach/jobdetail.ftl?job=240002JU,fin@cuhk.edu.hk,"Curriculum Vitae, Job Market Paper/other papers, References (3)",Resume,This application is for a non-tenure track Assistant Professor position in the Department of Finance at CUHK Business School.,240002JU,AFA,https://careers.afajof.org/job/322762,2024-10-23T20:24:49.731
2024-11-18,2024-11-09,Copenhagen Business School,"Faculty Positions at the Department of Finance, Copenhagen Business School",DK,https://www.econjobmarket.org/,recruiting.fi@cbs.dk,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,This application is for a Finance position at Copenhagen Business School. It is non-tenure track.,application_id,AFA,https://careers.afajof.org/job/322751,2024-10-23T20:24:49.731
2024-12-08,2024-12-08,Bank of Canada ,Senior Economist or FSS Senior Analyst (2024-2025 PhD Job Market),"Ontario, CA", , , , , , ,AFA,https://careers.afajof.org/job/322760,2024-10-23T20:24:49.731
,2024-11-08,YMCA of Greater New York,Head of Treasury Services (Association Office),"New York City, New York, US",http://ymcanyc.csod.com/ux/ats/careersite/1/home/requisition/2179?c=ymcanyc,,"Cover Letter, Resume",,"This application is for the Head of Treasury Services position at the YMCA of Greater New York. It involves managing treasury cash management, forecasting, and compliance reporting.",,AFA,https://careers.afajof.org/job/322758,2024-10-23T20:24:49.731
2024-11-15,2024-11-07,Northwestern University,"Assistant Professor, Finance","Evanston, Illinois, US",https://facultyrecruiting.northwestern.edu/apply/MjIxOA==,equity@northwestern.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"Assistant Professor, Finance position for non-tenure track faculty at Northwestern University.",51084,AFA,https://careers.afajof.org/job/322757,2024-10-23T20:24:49.731
2024-11-15,2024-11-15,Imperial College London,Assistant/Associate/Full Prof of Finance,"London (Greater), GB",https://www.imperial.ac.uk/jobs/search-jobs/description/index.php?jobId=20891&jobTitle=Professors+%28Assistant%2FAssociate%2FFull+Professor%29+of+Finance,ﬁnancerecruitment@imperial.ac.uk,"Curriculum Vitae, Job Market Paper/other papers",,Imperial College Business School seeks qualified applicants for faculty positions in Finance Department. Some initial screening will be conducted via Zoom during December 2024.,BUS00745,AFA,https://careers.afajof.org/job/322756,2024-10-23T20:24:49.731
2024-11-29,2024-11-07,Indiana University Kelley School of Business,"Assistant Professor, Kelley School of Business (Finance)","Bloomington, Indiana, US",https://indiana.peopleadmin.com/postings/26031,KSBFIN@iu.edu,"Cover Letter, Curriculum Vitae",,"This application is for tenure-track positions as Assistant Professor in Finance at Indiana University – Bloomington, starting fall 2025. A doctoral degree (or all but dissertation) in Finance, Real Estate, or a related area is required.",,AFA,https://careers.afajof.org/job/322754,2024-10-23T20:24:49.731
2024-11-05,2024-12-07,Georgia Tech Scheller College of Business,Assistant Professor of Finance,"Atlanta, Georgia, US",https://bit.ly/3RJWKY0,Recruit-finance@scheller.gatech.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, Teaching Statement","Three letters of recommendation, References (3)","This application is for a tenure-track Assistant Professor position in Finance at Georgia Tech. The job requires research, teaching, and service.",,AFA,https://careers.afajof.org/job/322755,2024-10-23T20:24:49.731
2024-12-14,2024-12-06,University of Notre Dame,University Chair Position in the Finance Department,"Notre Dame, Indiana, US",http://apply.interfolio.com/154852,,"Cover Letter, Curriculum Vitae, Evidence of Teaching Performance, References (3)",,"This position is for a University Chair Professor in Finance at the University of Notre Dame. The successful candidate will be a renowned scholar with a demonstrated record of excellence in research, teaching, and service.",154852,AFA,https://careers.afajof.org/job/322753,2024-10-23T20:24:49.731
2024-11-20,2024-12-06,University of Notre Dame,Tenure Track Position in the Finance Department,"Notre Dame, Indiana, US",http://apply.interfolio.com/154844,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"This application is for a tenure-track finance position at the University of Notre Dame's Mendoza College of Business. It requires a Ph.D. in Finance or a closely related field and includes a job market paper, teaching statement, and three confidential letters of recommendation.",154844,AFA,https://careers.afajof.org/job/322752,2024-10-23T20:24:49.731
,2024-12-06,Lingnan University,"Associate Professor / Assistant Professor, Department of Finance",HK,https://www.ln.edu.hk/,,"Cover Letter, Curriculum Vitae",,"This application is for an Associate Professor / Assistant Professor position in the Department of Finance at Lingnan University, with a focus on teaching excellence and securing external research grants.",,AFA,https://careers.afajof.org/job/322750,2024-10-23T20:24:49.731
,2024-11-03,University of Virginia Darden School of Business,"Open Rank Professor of Finance, Tenured/Tenure-Track","Charlottesville, Virginia, US",https://jobs.virginia.edu/,FitzgeraldA@darden.virginia.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"This application is for a tenure track assistant, associate or full professor faculty appointment in Finance to begin Fall 2025 at the Darden School of Business.",,AFA,https://careers.afajof.org/job/322746,2024-10-23T20:24:49.731
2024-11-15,2024-11-01,Southwestern University,Assistant Professor of Economics / Finance (tenure-track),"Georgetown, Texas, US",http://apply.interfolio.com/155762,,"Cover Letter, Curriculum Vitae, Diversity and Inclusion Statement, Job Market Paper/other papers, References (2), Research Statement, Teaching Statement",,The Department of Economics and Business at Southwestern University invites applications for a tenure-track position at the Assistant Professor level in Economics/Finance beginning fall semester of 2025.,,AFA,https://careers.afajof.org/job/322745,2024-10-23T20:24:49.731
2025-07-01,2024-11-01,University of Pennsylvania,Assistant Professor of Finance (Tenure Track) 2024 - 2025,"Philadelphia, Pennsylvania, US",https://fnce.wharton.upenn.edu/,fnce-recruitcoord@wharton.upenn.edu,"Cover Letter, Curriculum Vitae, References (3)",,Tenure-track Assistant Professor position in Finance at Wharton School.,jeid-705e8ed7202da448b7d90dbbd72f9849,AFA,https://careers.afajof.org/job/322742,2024-10-23T20:24:49.731
2024-12-06,2024-12-09,Tsinghua University,Faculty Positions,CN,https://eng.pbcsf.tsinghua.edu.cn/Faculty/Recruitment/Tenure_Track.htm,recruitment@pbcsf.tsinghua.edu.cn,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"Faculty positions at PBC School of Finance, Tsinghua University for finance and economics",,AFA,https://careers.afajof.org/job/322736,2024-10-23T20:24:49.731
2024-10-11,2024-10-31,Georgetown University McDonough School of Business,Assistant Professor of Finance,"Washington D.C., US",http://apply.interfolio.com/156228,"jennie.bai@georgetown.edu, rohan.williamson@georgetown.edu, xiaofei.zhao@georgetown.edu","Cover Letter, Curriculum Vitae, Job Market Paper/other papers, Letters of Recommendation (3), Working Papers/publications",,"This application is for a tenure-track assistant professor position in finance at Georgetown University's McDonough School of Business, beginning Fall 2025.",116419,AFA,https://careers.afajof.org/job/322741,2024-10-23T20:24:49.731
2024-11-24,2024-10-31,University of Warwick,Assistant Professor in Finance,"Coventry, West Midlands, GB",https://econjobmarket.org/positions/10898,academic.recruitment@wbs.ac.uk,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,This application is for Assistant Professor in Finance position at Warwick Business School.,10898,AFA,https://careers.afajof.org/job/322739,2024-10-23T20:24:49.731
2024-11-24,2024-11-30,Shanghai University of Finance and Economics,Tenure-track Faculty Positions at School of Finance Shanghai University of Finance and Economics,CN,https://econjobmarket.org/positions/10860,+86 21 6590-8400 (Ms. Wang),"Cover Letter, Curriculum Vitae, References (3), Research Statement/job market paper, Teaching Statement/evaluation",,"This application is for a tenure-track position in finance at Shanghai University of Finance and Economics, starting in fall 2025.",10860,AFA,https://careers.afajof.org/job/322714,2024-10-23T20:24:49.731
2024-11-15,2024-11-15,Stanford Graduate School of Business,Faculty Positions in Finance,"Stanford, California, US",http://www.gsb.stanford.edu/recruiting,Faculty_Recruiter@gsb.stanford.edu,"Curriculum Vitae, Job Market Paper/other papers, References (3)","Research Papers, Teaching Evaluations","This application is for a tenure-track faculty position in finance at the Graduate School of Business, Stanford University.", ,AFA,https://careers.afajof.org/job/322737,2024-10-23T20:24:49.731
2024-10-27,2024-10-27,University of Denver - Reiman School of Finance,"Assistant Professor of Finance, Reiman School of Finance","Denver, Colorado, US", , , , , , ,AFA,https://careers.afajof.org/job/322735,2024-10-23T20:24:49.731
2024-10-30,2024-10-30,Barnard College,Controller,"New York City, New York, US", , , , , , ,AFA,https://careers.afajof.org/job/322734,2024-10-23T20:24:49.731
2024-11-27,2024-11-27,NEW YORK UNIVERSITY STERN SCHOOL OF BUSINESS,"Assistant Professor of Finance, tenure-track (NYU Stern)","New York City, New York, US",https://apply.interfolio.com/151318, ,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,"Tenure-track faculty appointment at NYU Stern, assistant professor level, all areas of finance and economics considered.",151318,AFA,https://careers.afajof.org/job/322589,2024-10-23T20:24:49.731
2025-02-01,2024-11-26,University of Illinois at Urbana Champaign,"Assistant, Associate or Full Professor Department of Finance","Champaign, Illinois, US",https://jobs.illinois.edu/apply/J1016501,hrichmnd@illinois.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"This application is for the Assistant Professor position in Finance at Gies College of Business, University of Illinois.",1026501,AFA,https://careers.afajof.org/job/322730,2024-10-23T20:24:49.731
2024-10-30,2024-11-26,Fairfield University,Assistant Professor of Finance,"Fairfield, Connecticut, US",https://ffd.wd1.myworkdayjobs.com/en-US/EmploymentOpportunities/details/Assistant-Professor--Finance_JR0002380,skozlowski@fairfield.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (2), Teaching Statement",,This application is for a tenure-track Assistant Professor position in the Finance Department at Fairfield University. The university seeks candidates with a strong research program and commitment to engaged teaching.,JR0002380,AFA,https://careers.afajof.org/job/322729,2024-10-23T20:24:49.731
2024-10-27,2024-10-27,University of Wisconsin - Milwaukee,ASSISTANT PROFESSOR,"Milwaukee, Wisconsin, US", , , , , , ,AFA,https://careers.afajof.org/job/322725,2024-10-23T20:24:49.731
2024-11-25,2024-11-25,National University of Singapore,"Assistant Professors, Associate Professors, and Professors of Finance ",SG, ,fnbbox1@nus.edu.sg,"Cover Letter, Curriculum Vitae, Research Statement, Teaching Statement","References (3), Recent publications or working papers",Tenure-track faculty positions in finance at all levels., ,AFA,https://careers.afajof.org/job/322723,2024-10-23T20:24:49.731
2024-11-25,2024-11-25,Arizona State University,Clinical Professor (Open Rank),"Tempe, Arizona, US", , , , , , ,AFA,https://careers.afajof.org/job/322720,2024-10-23T20:24:49.731
2024-11-24,2024-11-24,Arizona State University,Assistant or Associate Professor of Finance,"Tempe, Arizona, US", , , , , , ,AFA,https://careers.afajof.org/job/322718,2024-10-23T20:24:49.731
2024-11-15,2024-11-15,HEC Montreal,Tenure-Track Faculty Position in Finance,"Montréal, Quebec, CA",https://tre.tbe.taleo.net/tre01/ats/careers/v2/applyRequisition?org=NYQEDG&amp;cws=43&amp;rid=1032, ,"Cover Letter, Curriculum Vitae, Ph.D. diploma, Research Statement","References (3), Letters of recommendation","This application is for a tenure-track faculty position in finance at HEC Montréal, starting in 2025/2026.", ,AFA,https://careers.afajof.org/job/322717,2024-10-23T20:24:49.731
2024-11-15,2024-10-24,University of Massachusetts Amherst,Assistant Professor of Finance,"Amherst, Massachusetts, US",https://careers.umass.edu/en-us/job/524985/assistant-professor-of-finance,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement",,"This application is for a tenure-track assistant professor position in finance at Isenberg School of Management, UMass Amherst. The ideal candidate has a PhD in Finance or a related field and demonstrated teaching excellence.",,AFA,https://careers.afajof.org/job/322712,2024-10-23T20:24:49.731
2024-10-24,2024-10-24,University of Sydney,0124735 Sydney Horizon Educators/Teaching and Research (The University of Sydney Business School),"New South Wales, AU", , , , , , ,AFA,https://careers.afajof.org/job/322711,2024-10-23T20:24:49.731
2024-11-30,2024-10-24,"The Chinese University of Hong Kong, Shenzhen",Assistant Professor/Associate Professor/Professor in Finance –The School of Management and Economics,CN,http://academicrecruit.cuhk.edu.cn/sme,smefinrecruit@cuhk.edu.cn,"Curriculum Vitae, Job Market Paper/other papers","Teaching Evaluations (if any), Teaching Statement, Research Statement","Faculty positions in Finance at CUHK-Shenzhen, competitive salary and benefits.",,AFA,https://careers.afajof.org/job/322703,2024-10-23T20:24:49.731
2025-01-03,2024-11-22,Analysis Group,Summer Associate Intern - Generalist (PhD) (2025 Start Date),"Los Angeles, California, US",https://www.analysisgroup.com/summer-associate-application/,,"Cover Letter, Curriculum Vitae",,"This application is for the Summer Associate Intern - Generalist (PhD) position at Analysis Group, a leading economics consulting firm. The role involves working on complex business problems in a collaborative environment and requires strong analytical skills, excellent communication skills, and a passion for using data and analytics to solve economic and financial challenges.",,AFA,https://careers.afajof.org/job/322708,2024-10-23T20:24:49.731
2024-11-18,2024-11-22,Analysis Group,Associate - Generalist (PhD) (2025 Start Date),"Chicago, Illinois, US",https://www.analysisgroup.com/associate-pay/,Associate.Recruiter@analysisgroup.com,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers",Three letters of recommendation,"This application is for an Associate position at Analysis Group. The role involves working on complex business problems and requires a strong academic record, excellent communication skills, and the ability to work collaboratively.",Associate - Generalist (PhD),AFA,https://careers.afajof.org/job/322707,2024-10-23T20:24:49.731
,2024-11-22,University of Alberta,Tenured or Tenure-Track Faculty Positions in Finance,"Alberta, CA",https://apps.ualberta.ca/careers/posting/1282,financechair@ualberta.ca,"Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Statement",,"This application is for a Tenured or Tenure-Track Faculty Position in Finance at the University of Alberta. It is a full-time position with an anticipated start date of July 1, 2025.",,AFA,https://careers.afajof.org/job/322706,2024-10-23T20:24:49.731
2024-10-18,2024-10-23,University of Massachusetts Amherst,Lecturer - Finance,"Amherst, Massachusetts, US",https://careers.umass.edu/en-us/job/524858/lecturer-finance,,"Cover Letter, Curriculum Vitae","Research Statement, Teaching Statement, References (3)","This application is for a non-tenure track Lecturer position at Isenberg School of Management, UMass Amherst.",,AFA,https://careers.afajof.org/job/322705,2024-10-23T20:24:49.731
Ongoing,2024-11-19,SUFE-DIFA,Dishui Lake Advanced Finance Institute at Shanghai University of Finance and Economics Job Openings,CN,,luo.yangfan@sufe.edu.cn,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Evaluation",,"This application is for tenure-track and non-tenure-track positions at Shanghai University of Finance and Economics, with internationally competitive compensation.",,AFA,https://careers.afajof.org/job/322698,2024-10-23T20:24:49.731
2025-08-01,2024-11-23,"Faculty of Business Administration, University of Macau",Associate/Assistant Professor in Finance,MO,https://career.admo.um.edu.mo/fba_fbe_aap_09_2024/,kelmenyeung@um.edu.mo,"Cover Letter, Curriculum Vitae, References (3), Research Statement",,This application is for an Associate/Assistant Professor in Finance position at the University of Macau. The selected candidate will assume duty by August 2025.,,AFA,https://careers.afajof.org/job/322678,2024-10-23T20:24:49.731
2024-11-30,2024-11-17,Columbia Climate School ,Assistant/Associate Professor in Climate Finance,"New York City, New York, US",http://apply.interfolio.com/154432,gcohen@climate.columbia.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, Research Statement (max. 2 pages), Statement of Commitment to Equity, Diversity, and Inclusion (max. 1 page), Statement of Teaching Interests (max. 1 page)",3 confidential letters of recommendation,This application is for a tenure-track Assistant or Associate Professor position in Climate Finance at Columbia University.,154432,AFA,https://careers.afajof.org/job/322692,2024-10-23T20:24:49.731
